"","displ","cyl","drv","hwy"
"1",1.8,4,"f",29
"2",1.8,4,"f",29
"3",2,4,"f",31
"4",2,4,"f",30
"5",2.8,6,"f",26
"6",2.8,6,"f",26
"7",3.1,6,"f",27
"8",1.8,4,"4",26
"9",1.8,4,"4",25
"10",2,4,"4",28
"11",2,4,"4",27
"12",2.8,6,"4",25
"13",2.8,6,"4",25
"14",3.1,6,"4",25
"15",3.1,6,"4",25
"16",2.8,6,"4",24
"17",3.1,6,"4",25
"18",4.2,8,"4",23
"19",5.3,8,"r",20
"20",5.3,8,"r",15
"21",5.3,8,"r",20
"22",5.7,8,"r",17
"23",6,8,"r",17
"24",5.7,8,"r",26
"25",5.7,8,"r",23
"26",6.2,8,"r",26
"27",6.2,8,"r",25
"28",7,8,"r",24
"29",5.3,8,"4",19
"30",5.3,8,"4",14
"31",5.7,8,"4",15
"32",6.5,8,"4",17
"33",2.4,4,"f",27
"34",2.4,4,"f",30
"35",3.1,6,"f",26
"36",3.5,6,"f",29
"37",3.6,6,"f",26
"38",2.4,4,"f",24
"39",3,6,"f",24
"40",3.3,6,"f",22
"41",3.3,6,"f",22
"42",3.3,6,"f",24
"43",3.3,6,"f",24
"44",3.3,6,"f",17
"45",3.8,6,"f",22
"46",3.8,6,"f",21
"47",3.8,6,"f",23
"48",4,6,"f",23
"49",3.7,6,"4",19
"50",3.7,6,"4",18
"51",3.9,6,"4",17
"52",3.9,6,"4",17
"53",4.7,8,"4",19
"54",4.7,8,"4",19
"55",4.7,8,"4",12
"56",5.2,8,"4",17
"57",5.2,8,"4",15
"58",3.9,6,"4",17
"59",4.7,8,"4",17
"60",4.7,8,"4",12
"61",4.7,8,"4",17
"62",5.2,8,"4",16
"63",5.7,8,"4",18
"64",5.9,8,"4",15
"65",4.7,8,"4",16
"66",4.7,8,"4",12
"67",4.7,8,"4",17
"68",4.7,8,"4",17
"69",4.7,8,"4",16
"70",4.7,8,"4",12
"71",5.2,8,"4",15
"72",5.2,8,"4",16
"73",5.7,8,"4",17
"74",5.9,8,"4",15
"75",4.6,8,"r",17
"76",5.4,8,"r",17
"77",5.4,8,"r",18
"78",4,6,"4",17
"79",4,6,"4",19
"80",4,6,"4",17
"81",4,6,"4",19
"82",4.6,8,"4",19
"83",5,8,"4",17
"84",4.2,6,"4",17
"85",4.2,6,"4",17
"86",4.6,8,"4",16
"87",4.6,8,"4",16
"88",4.6,8,"4",17
"89",5.4,8,"4",15
"90",5.4,8,"4",17
"91",3.8,6,"r",26
"92",3.8,6,"r",25
"93",4,6,"r",26
"94",4,6,"r",24
"95",4.6,8,"r",21
"96",4.6,8,"r",22
"97",4.6,8,"r",23
"98",4.6,8,"r",22
"99",5.4,8,"r",20
"100",1.6,4,"f",33
"101",1.6,4,"f",32
"102",1.6,4,"f",32
