"attage","sex","smoker","exposure","actual_dths","expected_dths","actual_mort","expected_mort"
48,"F","N",103.7392,0,0.21587,0,0.00208089131205947
48,"F","S",26.8865,0,0.11311,0,0.00420694400535585
48,"F","U",17.4801,0,0.04479,0,0.00256234232069611
48,"M","N",215.873,0,0.55194,0,0.00255678107035155
48,"M","S",26.2061,0,0.13158,0,0.00502096840048691
48,"M","U",53.2188,0,0.17141,0,0.00322085428457613
48,"U","N",8.6147,0,0.02274,0,0.00263967404552683
49,"F","N",381.3701,1,0.83859,0.00262212480737216,0.00219888764221422
49,"F","S",74.0778,0,0.32816,0,0.00442993717416014
49,"F","U",149.2849,0,0.39097,0,0.00261895208423625
49,"M","N",484.1304,0,1.25975,0,0.00260208819772524
49,"M","S",112.7738,0,0.63479,0,0.00562887833876308
49,"M","U",112.0944,0,0.36456,0,0.00325225881043121
49,"U","N",7.4752,0,0.01579,0,0.00211231806506849
49,"U","S",3.5394,0,0.01985,0,0.00560829519127536
49,"U","U",3.6547,0,0.01131,0,0.00309464525132022
50,"F","N",793.7525,1,1.672,0.0012598385516896,0.00210645005842501
50,"F","S",124.0918,1,0.55043,0.0080585502023502,0.00443566778787962
50,"F","U",251.5114,0,0.68843,0,0.00273717215203764
50,"M","N",1179.5952,3,3.0894,0.00254324534382642,0.00261903405507245
50,"M","S",228.5581,0,1.22061,0,0.00534048016674972
50,"M","U",450.781,1,1.4981,0.00221837211417518,0.00332334326424583
50,"U","N",38.0602,1,0.09537,0.0262741656638693,0.00250576717936322
50,"U","S",5.4219,0,0.02766,0,0.00510153267304819
50,"U","U",8.5035,0,0.02767,0,0.00325395425413065
51,"F","N",1364.221,2,3.06915,0.00146603812725358,0.00224974545913016
51,"F","S",266.2321,0,1.21544,0,0.00456533979185831
51,"F","U",515.7955,1,1.47453,0.00193875285844875,0.00285874925236843
51,"M","N",1932.4701,5,5.14704,0.00258736215375338,0.00266345129997095
51,"M","S",400.6871,2,2.19851,0.00499142597802625,0.00548684996347524
51,"M","U",766.2708,3,2.6445,0.00391506501356962,0.00345112980946162
51,"U","N",62.8842,0,0.16354,0,0.00260065326425398
51,"U","S",15.619,0,0.0849,0,0.00543568730392471
51,"U","U",16.2945,0,0.05531,0,0.00339439688238363
52,"F","N",2177.4269,3,5.08903,0.00137777300353918,0.00233717604940033
52,"F","S",361.996,1,1.74356,0.00276246146366258,0.00481651730958353
52,"F","U",669.964,1,2.03921,0.00149261751377686,0.00304376056026891
52,"M","N",3263.5497,14,9.22865,0.00428980750622551,0.00282779514588057
52,"M","S",581.2036,2,3.39826,0.00344113491382366,0.00584693556612519
52,"M","U",1205.9242,7,4.3672,0.00580467661234429,0.00362145481449
52,"U","N",74.0559,0,0.19918,0,0.00268958989087973
52,"U","S",12.4573,0,0.0562,0,0.00451141097990736
52,"U","U",18.6381,0,0.06581,0,0.00353093931248357
53,"F","N",2687.8776,6,6.67376,0.00223224450399081,0.00248291068015895
53,"F","S",516.2964,1,2.73868,0.00193687192085786,0.00530447239221501
53,"F","U",958.5569,3,3.06599,0.00312970466333297,0.00319854773357742
53,"M","N",4055.5681,9,12.03707,0.00221917121796081,0.00296803547695328
53,"M","S",748.9581,6,4.62853,0.00801112906049084,0.00617995853172561
53,"M","U",1567.3748,5,6.06175,0.00319004746025009,0.0038674540384342
53,"U","N",130.8414,0,0.34964,0,0.00267224288336872
53,"U","S",15.8007,0,0.08778,0,0.00555545007499668
53,"U","U",52.2751,0,0.18964,0,0.00362773098473269
54,"F","N",3165.9154,7,8.48211,0.00221105087015275,0.00267919667089019
54,"F","S",522.9996,3,2.91182,0.00573614205441075,0.0055675377189581
54,"F","U",1307.129,6,4.55874,0.00459021259569637,0.00348759762808414
54,"M","N",4646.7924,13,14.72001,0.00279762874709014,0.00316777870257341
54,"M","S",855.8809,5,5.66618,0.005841934315861,0.00662029027636906
54,"M","U",1658.6926,9,6.87326,0.00542596018092804,0.00414378167479616
54,"U","N",125.822,0,0.38259,0,0.00304072419767608
54,"U","S",18.4032,1,0.11564,0.0543383759346201,0.00628368979307947
54,"U","U",42.2447,0,0.16231,0,0.00384213877717205
