"","FACE","TERM_FLAG","GENDER","AGE","MARSTAT","EDUCATION","SAGE","SEDUCATION","NUMHH","INCOME","CHARITY","logFACE","logINCOME","logCHARITY","FACEratio","AGEdiff"
"1",20000,1,1,30,1,16,27,16,3,43000,0,9.90348755253613,10.6689553946757,0,0.465116279069767,3
"2",130000,1,1,50,1,9,47,8,3,12000,0,11.7752897294377,9.39266192877014,0,10.8333333333333,3
"3",1500000,1,1,39,1,16,38,16,5,120000,500,14.2209756660724,11.6952470217642,6.21460809842219,12.5,1
"4",50000,1,1,43,1,17,35,14,4,40000,0,10.8197782844103,10.5966347330961,0,1.25,8
"6",220000,1,1,34,1,11,31,14,4,28000,0,12.3013828253345,10.2399597891573,0,7.85714285714286,3
"8",600000,1,1,29,1,16,31,17,3,100000,0,13.3046849341983,11.5129254649702,0,6,2
"11",100000,1,1,72,1,17,70,14,2,112000,12000,11.5129254649702,11.6262541502772,9.39266192877014,0.892857142857143,2
"12",2500000,1,1,51,1,16,52,14,4,15000,10000,14.7318012898384,9.61580548008435,9.21034037197618,166.666666666667,1
"14",250000,1,1,58,0,14,0,0,1,32000,0,12.4292161968444,10.3734911817819,0,7.8125,0
"17",50000,1,1,73,1,12,65,16,2,25000,1000,10.8197782844103,10.1266311038503,6.90775527898214,2,8
"19",90000,1,1,35,1,12,31,12,6,40000,0,11.4075649493124,10.5966347330961,0,2.25,4
"21",10000,1,1,60,1,16,55,14,2,66000,1200,9.21034037197618,11.0974100210086,7.09007683577609,0.151515151515152,5
"22",2000000,1,1,46,1,17,37,16,4,120000,0,14.5086577385242,11.6952470217642,0,16.6666666666667,9
"23",50000,1,0,43,0,13,0,0,3,13000,0,10.8197782844103,9.47270463644367,0,3.84615384615385,0
"26",1500000,1,1,50,1,17,49,16,2,200000,3500,14.2209756660724,12.2060726455302,8.1605182474775,7.5,1
"27",150000,1,1,56,0,14,0,0,1,50000,0,11.9183905730784,10.8197782844103,0,3,0
"30",100000,1,1,32,1,7,42,9,4,45000,0,11.5129254649702,10.7144177687525,0,2.22222222222222,10
"33",60000,1,0,64,0,13,0,0,1,42000,600,11.0020998412042,10.6454248972655,6.39692965521615,1.42857142857143,0
"34",1100000,1,1,62,0,16,0,0,1,225000,4000,13.9108207377686,12.3238556811866,8.29404964010203,4.88888888888889,0
"35",30000,1,1,61,1,17,59,17,2,102000,3400,10.3089526606443,11.5327280922664,8.13153071060425,0.294117647058824,2
"36",100000,1,0,54,0,13,0,0,7,34000,1200,11.5129254649702,10.4341158035983,7.09007683577609,2.94117647058824,0
"38",75000,1,0,60,0,17,0,0,1,70000,800,11.2252433925184,11.1562505210315,6.68461172766793,1.07142857142857,0
"40",1000000,1,1,30,1,17,31,17,2,270000,2500,13.8155105579643,12.5061772379805,7.82404601085629,3.7037037037037,1
"41",1000000,1,1,52,1,16,52,17,2,292000,1000,13.8155105579643,12.5845090812504,6.90775527898214,3.42465753424658,0
"44",200000,1,1,60,1,13,41,14,3,95000,2000,12.2060726455302,11.4616321705827,7.60090245954208,2.10526315789474,19
"45",2700000,1,1,43,1,17,40,17,6,7870000,509000,14.8087623309746,15.8785686203936,13.1402032955327,0.343074968233799,3
"46",150000,1,1,55,1,17,61,12,2,105000,2300,11.9183905730784,11.5617156291397,7.74066440191724,1.42857142857143,6
"47",102000,1,1,50,1,16,49,17,4,90000,0,11.5327280922664,11.4075649493124,0,1.13333333333333,1
"49",400000,1,1,34,1,16,38,16,5,84000,0,12.8992198260901,11.3385720778255,0,4.76190476190476,4
"50",500000,1,1,50,1,12,43,15,3,93000,0,13.1223633774043,11.4403547721354,0,5.37634408602151,7
"51",900000,1,1,56,1,17,56,16,4,155000,10000,13.7101500423064,11.9511803959014,9.21034037197618,5.80645161290323,0
"58",75000,1,1,58,1,17,57,17,2,170000,2000,11.2252433925184,12.0435537160324,7.60090245954208,0.441176470588235,1
"59",10000,1,1,42,1,13,40,12,4,53000,500,9.21034037197618,10.8780471925343,6.21460809842219,0.188679245283019,2
"60",100000,1,1,37,1,12,50,17,2,110000,700,11.5129254649702,11.6082356447746,6.5510803350434,0.909090909090909,13
"61",1500000,1,1,62,1,17,61,16,2,200000,10000,14.2209756660724,12.2060726455302,9.21034037197618,7.5,1
"64",50000,1,1,49,1,14,48,14,5,105000,0,10.8197782844103,11.5617156291397,0,0.476190476190476,1
"65",200000,1,1,56,0,14,0,0,1,58000,0,12.2060726455302,10.9681982895286,0,3.44827586206897,0
"66",50000,1,1,64,1,17,62,16,2,240000,10000,10.8197782844103,12.3883942023241,9.21034037197618,0.208333333333333,2
"69",50000,1,1,48,1,16,44,14,2,58000,1200,10.8197782844103,10.9681982895286,7.09007683577609,0.862068965517241,4
"70",400000,1,1,52,1,16,58,16,3,60000,1200,12.8992198260901,11.0020998412042,7.09007683577609,6.66666666666667,6
"71",50000,1,1,48,1,10,42,12,4,52000,0,10.8197782844103,10.8589989975636,0,0.961538461538462,6
"73",1200000,1,1,41,1,16,33,16,4,45000,0,13.9978321147582,10.7144177687525,0,26.6666666666667,8
"76",100000,1,1,29,1,12,28,16,4,40000,0,11.5129254649702,10.5966347330961,0,2.5,1
"81",400000,1,1,40,1,16,34,14,4,91000,2900,12.8992198260901,11.418614785499,7.97246601597457,4.3956043956044,6
"83",40000,1,1,28,1,16,25,14,2,27000,0,10.5966347330961,10.2035921449865,0,1.48148148148148,3
"85",700000,1,1,33,1,15,31,17,4,155000,4000,13.4588356140255,11.9511803959014,8.29404964010203,4.51612903225806,2
"89",360000,1,1,42,1,14,43,16,4,102000,8000,12.7938593104323,11.5327280922664,8.98719682066197,3.52941176470588,1
"91",180000,1,1,59,1,17,53,17,2,30000,0,12.1007121298723,10.3089526606443,0,6,6
"92",200000,1,1,40,1,17,40,17,3,190000,2000,12.2060726455302,12.1547793511426,7.60090245954208,1.05263157894737,0
"95",100000,1,1,38,1,16,35,16,4,63000,1400,11.5129254649702,11.0508900053737,7.24422751560335,1.58730158730159,3
"96",26000,1,1,58,1,13,58,12,2,58000,2000,10.1658518170036,10.9681982895286,7.60090245954208,0.448275862068966,0
"99",20000,1,1,62,1,12,52,12,2,41000,500,9.90348755253613,10.6213273456864,6.21460809842219,0.48780487804878,10
"100",2000000,1,1,45,1,16,42,17,7,500000,8500,14.5086577385242,13.1223633774043,9.04782144247841,4,3
"103",2500000,1,1,47,1,17,48,17,4,90000,20000,14.7318012898384,11.4075649493124,9.90348755253613,27.7777777777778,1
"104",50000,1,1,48,0,13,0,0,1,40000,0,10.8197782844103,10.5966347330961,0,1.25,0
"106",41000,1,1,35,0,16,0,0,1,43000,0,10.6213273456864,10.6689553946757,0,0.953488372093023,0
"109",110000,1,1,54,1,16,50,12,2,90000,0,11.6082356447746,11.4075649493124,0,1.22222222222222,4
"110",115000,1,1,49,1,13,47,14,3,72000,0,11.6526874073454,11.1844213979982,0,1.59722222222222,2
"114",300000,1,1,43,1,12,41,12,5,14000,4000,12.6115377536383,9.5468126085974,8.29404964010203,21.4285714285714,2
"117",10000,1,1,49,1,14,44,12,2,16000,500,9.21034037197618,9.68034400122192,6.21460809842219,0.625,5
"119",250000,1,1,37,1,16,35,16,4,86000,1000,12.4292161968444,11.3621025752356,6.90775527898214,2.90697674418605,2
"120",2500000,1,1,31,1,12,30,14,3,60000,0,14.7318012898384,11.0020998412042,0,41.6666666666667,1
"121",20000,1,1,52,1,12,47,9,2,28000,0,9.90348755253613,10.2399597891573,0,0.714285714285714,5
"122",10000,1,1,41,1,11,40,12,2,44000,0,9.21034037197618,10.6919449129004,0,0.227272727272727,1
"123",7000,1,1,34,0,16,0,0,2,28000,0,8.85366542803745,10.2399597891573,0,0.25,0
"124",634000,1,1,46,1,16,37,16,3,158000,1200,13.3598042334194,11.9703503120091,7.09007683577609,4.0126582278481,9
"126",650000,1,1,31,1,14,29,16,3,82000,9800,13.3847276418718,11.3144745262464,9.19013766465866,7.92682926829268,2
"128",1500000,1,1,41,1,17,40,17,5,200000,3500,14.2209756660724,12.2060726455302,8.1605182474775,7.5,1
"129",3000000,1,1,53,1,16,53,16,4,476000,10000,14.9141228466324,13.0731731332136,9.21034037197618,6.30252100840336,0
"130",350000,1,0,58,0,16,0,0,1,82000,2000,12.7656884334656,11.3144745262464,7.60090245954208,4.26829268292683,0
"132",1000000,1,1,37,1,12,41,16,5,62000,7500,13.8155105579643,11.0348896640272,8.9226582995244,16.1290322580645,4
"133",3000000,1,1,44,1,17,41,16,5,320000,2000,14.9141228466324,12.6760762747759,7.60090245954208,9.375,3
"135",10000000,1,1,51,1,17,52,17,4,320000,75000,16.1180956509583,12.6760762747759,11.2252433925184,31.25,1
"139",300000,1,1,62,1,16,66,15,2,98000,4000,12.6115377536383,11.4927227576527,8.29404964010203,3.06122448979592,4
"141",250000,1,1,52,1,14,47,12,2,113000,500,12.4292161968444,11.6351430976945,6.21460809842219,2.21238938053097,5
"143",2000000,1,1,50,1,17,46,17,5,10000000,245000,14.5086577385242,16.1180956509583,12.4090134895269,0.2,4
"145",750000,1,1,46,1,16,48,16,5,120000,5500,13.5278284855125,11.6952470217642,8.61250337122056,6.25,2
"150",500000,1,1,61,1,17,57,16,2,150000,10000,13.1223633774043,11.9183905730784,9.21034037197618,3.33333333333333,4
"151",100000,1,1,23,1,10,22,12,3,34000,0,11.5129254649702,10.4341158035983,0,2.94117647058824,1
"152",100000,1,1,31,1,17,26,17,2,100000,1000,11.5129254649702,11.5129254649702,6.90775527898214,1,5
"155",500000,1,1,47,1,16,51,14,4,52000,0,13.1223633774043,10.8589989975636,0,9.61538461538461,4
"156",280000,1,1,51,1,13,50,13,2,96000,1800,12.5425448821514,11.47210347045,7.49554194388426,2.91666666666667,1
"158",42000,1,1,51,1,16,38,13,4,250000,0,10.6454248972655,12.4292161968444,0,0.168,13
"160",750000,1,1,38,1,17,39,17,4,123000,1200,13.5278284855125,11.7199396343546,7.09007683577609,6.09756097560976,1
"163",10000,1,1,35,1,12,32,16,2,28000,0,9.21034037197618,10.2399597891573,0,0.357142857142857,3
"166",1750000,1,1,39,1,17,37,16,8,300000,40000,14.3751263458997,12.6115377536383,10.5966347330961,5.83333333333333,2
"167",100000,1,1,47,1,17,47,17,3,104000,5300,11.5129254649702,11.5521461781235,8.57546209954021,0.961538461538462,0
"172",300000,1,1,26,1,16,26,16,2,33000,0,12.6115377536383,10.4042628404486,0,9.09090909090909,0
"173",3100000,1,1,55,1,17,55,17,5,100000,8100,14.9469126694554,11.5129254649702,8.99961934066053,31,0
"174",1800000,1,1,50,1,17,48,17,2,1010000,25000,14.4032972228664,13.8254608888174,10.1266311038503,1.78217821782178,2
