"","FACE","TERM_FLAG","GENDER","AGE","MARSTAT","EDUCATION","SAGE","SEDUCATION","NUMHH","INCOME","CHARITY","logFACE","logINCOME","logCHARITY","FACEratio","AGEdiff"
"1",20000,1,1,30,1,16,27,16,3,43000,0,9.90348755253613,10.6689553946757,0,0.465116279069767,3
"2",130000,1,1,50,1,9,47,8,3,12000,0,11.7752897294377,9.39266192877014,0,10.8333333333333,3
"3",1500000,1,1,39,1,16,38,16,5,120000,500,14.2209756660724,11.6952470217642,6.21460809842219,12.5,1
"4",50000,1,1,43,1,17,35,14,4,40000,0,10.8197782844103,10.5966347330961,0,1.25,8
"5",0,0,1,61,1,15,59,12,2,25000,500,0,10.1266311038503,6.21460809842219,0,2
"6",220000,1,1,34,1,11,31,14,4,28000,0,12.3013828253345,10.2399597891573,0,7.85714285714286,3
"7",0,0,0,75,0,8,0,0,1,2500,0,0,7.82404601085629,0,0,0
"8",600000,1,1,29,1,16,31,17,3,100000,0,13.3046849341983,11.5129254649702,0,6,2
"10",0,0,1,70,1,17,74,16,2,101000,284000,0,11.5228757958234,12.5567295171433,0,4
"11",100000,1,1,72,1,17,70,14,2,112000,12000,11.5129254649702,11.6262541502772,9.39266192877014,0.892857142857143,2
"12",2500000,1,1,51,1,16,52,14,4,15000,10000,14.7318012898384,9.61580548008435,9.21034037197618,166.666666666667,1
"13",0,0,1,23,0,14,0,0,4,11000,0,0,9.30565055178051,0,0,0
"14",250000,1,1,58,0,14,0,0,1,32000,0,12.4292161968444,10.3734911817819,0,7.8125,0
"15",0,0,1,36,1,16,33,12,2,57000,7300,0,10.9508065468167,8.89562962713648,0,3
"16",0,0,1,58,1,14,50,12,4,220000,1200,0,12.3013828253345,7.09007683577609,0,8
"17",50000,1,1,73,1,12,65,16,2,25000,1000,10.8197782844103,10.1266311038503,6.90775527898214,2,8
"18",0,0,0,50,0,12,0,0,2,20000,0,0,9.90348755253613,0,0,0
"19",90000,1,1,35,1,12,31,12,6,40000,0,11.4075649493124,10.5966347330961,0,2.25,4
"20",0,0,0,26,0,14,0,0,2,25000,0,0,10.1266311038503,0,0,0
"21",10000,1,1,60,1,16,55,14,2,66000,1200,9.21034037197618,11.0974100210086,7.09007683577609,0.151515151515152,5
"22",2000000,1,1,46,1,17,37,16,4,120000,0,14.5086577385242,11.6952470217642,0,16.6666666666667,9
"23",50000,1,0,43,0,13,0,0,3,13000,0,10.8197782844103,9.47270463644367,0,3.84615384615385,0
"24",0,0,1,36,1,9,24,8,5,17000,0,0,9.74096862303835,0,0,12
"25",0,0,1,50,1,14,47,16,2,34000,0,0,10.4341158035983,0,0,3
"26",1500000,1,1,50,1,17,49,16,2,200000,3500,14.2209756660724,12.2060726455302,8.1605182474775,7.5,1
"27",150000,1,1,56,0,14,0,0,1,50000,0,11.9183905730784,10.8197782844103,0,3,0
"28",0,0,1,30,1,12,41,12,3,50000,1000,0,10.8197782844103,6.90775527898214,0,11
"29",0,0,1,43,1,12,41,14,5,56000,0,0,10.9331069697173,0,0,2
"30",100000,1,1,32,1,7,42,9,4,45000,0,11.5129254649702,10.7144177687525,0,2.22222222222222,10
"31",0,0,0,57,0,13,0,0,1,2300,0,0,7.74066440191724,0,0,0
"32",0,0,1,27,0,16,0,0,1,80000,0,0,11.289781913656,0,0,0
"33",60000,1,0,64,0,13,0,0,1,42000,600,11.0020998412042,10.6454248972655,6.39692965521615,1.42857142857143,0
"34",1100000,1,1,62,0,16,0,0,1,225000,4000,13.9108207377686,12.3238556811866,8.29404964010203,4.88888888888889,0
"35",30000,1,1,61,1,17,59,17,2,102000,3400,10.3089526606443,11.5327280922664,8.13153071060425,0.294117647058824,2
"36",100000,1,0,54,0,13,0,0,7,34000,1200,11.5129254649702,10.4341158035983,7.09007683577609,2.94117647058824,0
"37",0,0,1,61,1,17,63,16,2,1200000,191000,0,13.9978321147582,12.1600287070288,0,2
"38",75000,1,0,60,0,17,0,0,1,70000,800,11.2252433925184,11.1562505210315,6.68461172766793,1.07142857142857,0
"39",0,0,1,47,1,16,44,14,5,85000,600,0,11.3504065354725,6.39692965521615,0,3
"40",1000000,1,1,30,1,17,31,17,2,270000,2500,13.8155105579643,12.5061772379805,7.82404601085629,3.7037037037037,1
"41",1000000,1,1,52,1,16,52,17,2,292000,1000,13.8155105579643,12.5845090812504,6.90775527898214,3.42465753424658,0
"42",0,0,1,57,1,16,60,0,1,85000,1000,0,11.3504065354725,6.90775527898214,0,3
"43",0,0,1,65,0,14,0,0,1,13000,0,0,9.47270463644367,0,0,0
"44",200000,1,1,60,1,13,41,14,3,95000,2000,12.2060726455302,11.4616321705827,7.60090245954208,2.10526315789474,19
"45",2700000,1,1,43,1,17,40,17,6,7870000,509000,14.8087623309746,15.8785686203936,13.1402032955327,0.343074968233799,3
"46",150000,1,1,55,1,17,61,12,2,105000,2300,11.9183905730784,11.5617156291397,7.74066440191724,1.42857142857143,6
"47",102000,1,1,50,1,16,49,17,4,90000,0,11.5327280922664,11.4075649493124,0,1.13333333333333,1
"48",0,0,1,56,0,17,0,0,1,12000,0,0,9.39266192877014,0,0,0
"49",400000,1,1,34,1,16,38,16,5,84000,0,12.8992198260901,11.3385720778255,0,4.76190476190476,4
"50",500000,1,1,50,1,12,43,15,3,93000,0,13.1223633774043,11.4403547721354,0,5.37634408602151,7
"51",900000,1,1,56,1,17,56,16,4,155000,10000,13.7101500423064,11.9511803959014,9.21034037197618,5.80645161290323,0
"52",0,0,1,39,1,14,47,13,2,131000,10000,0,11.7829526021833,9.21034037197618,0,8
"53",0,0,1,50,1,16,42,16,4,52000,2000,0,10.8589989975636,7.60090245954208,0,8
"54",0,0,1,45,1,14,43,14,6,82000,0,0,11.3144745262464,0,0,2
"55",0,0,1,26,1,12,26,12,4,45000,0,0,10.7144177687525,0,0,0
"56",0,0,1,38,1,14,39,13,3,42000,0,0,10.6454248972655,0,0,1
"57",0,0,0,44,0,8,0,0,5,9000,0,0,9.10497985631836,0,0,0
"58",75000,1,1,58,1,17,57,17,2,170000,2000,11.2252433925184,12.0435537160324,7.60090245954208,0.441176470588235,1
"59",10000,1,1,42,1,13,40,12,4,53000,500,9.21034037197618,10.8780471925343,6.21460809842219,0.188679245283019,2
"60",100000,1,1,37,1,12,50,17,2,110000,700,11.5129254649702,11.6082356447746,6.5510803350434,0.909090909090909,13
"61",1500000,1,1,62,1,17,61,16,2,200000,10000,14.2209756660724,12.2060726455302,9.21034037197618,7.5,1
"62",0,0,0,40,0,16,0,0,3,42000,0,0,10.6454248972655,0,0,0
"63",0,0,0,44,0,12,0,0,1,13000,0,0,9.47270463644367,0,0,0
"64",50000,1,1,49,1,14,48,14,5,105000,0,10.8197782844103,11.5617156291397,0,0.476190476190476,1
"65",200000,1,1,56,0,14,0,0,1,58000,0,12.2060726455302,10.9681982895286,0,3.44827586206897,0
"66",50000,1,1,64,1,17,62,16,2,240000,10000,10.8197782844103,12.3883942023241,9.21034037197618,0.208333333333333,2
"67",0,0,1,46,1,12,42,12,4,280000,50000,0,12.5425448821514,10.8197782844103,0,4
"68",0,0,1,54,1,14,51,14,3,84000,1000,0,11.3385720778255,6.90775527898214,0,3
"69",50000,1,1,48,1,16,44,14,2,58000,1200,10.8197782844103,10.9681982895286,7.09007683577609,0.862068965517241,4
"70",400000,1,1,52,1,16,58,16,3,60000,1200,12.8992198260901,11.0020998412042,7.09007683577609,6.66666666666667,6
"71",50000,1,1,48,1,10,42,12,4,52000,0,10.8197782844103,10.8589989975636,0,0.961538461538462,6
"72",0,0,1,26,1,17,25,17,2,25000,0,0,10.1266311038503,0,0,1
"73",1200000,1,1,41,1,16,33,16,4,45000,0,13.9978321147582,10.7144177687525,0,26.6666666666667,8
"74",0,0,0,38,0,14,0,0,1,30000,0,0,10.3089526606443,0,0,0
"75",0,0,0,50,0,12,0,0,2,16000,0,0,9.68034400122192,0,0,0
"76",100000,1,1,29,1,12,28,16,4,40000,0,11.5129254649702,10.5966347330961,0,2.5,1
"77",0,0,1,45,1,17,42,14,2,75000,1000,0,11.2252433925184,6.90775527898214,0,3
"78",0,0,1,23,0,16,0,0,1,6000,0,0,8.69951474821019,0,0,0
"79",0,0,1,68,1,17,66,17,2,300000,180000,0,12.6115377536383,12.1007121298723,0,2
"80",0,0,1,26,1,16,22,14,3,80000,0,0,11.289781913656,0,0,4
"81",400000,1,1,40,1,16,34,14,4,91000,2900,12.8992198260901,11.418614785499,7.97246601597457,4.3956043956044,6
"82",0,0,1,62,1,12,58,14,3,37000,500,0,10.5186731916264,6.21460809842219,0,4
"83",40000,1,1,28,1,16,25,14,2,27000,0,10.5966347330961,10.2035921449865,0,1.48148148148148,3
"84",0,0,1,48,1,16,48,16,3,50000,17000,0,10.8197782844103,9.74096862303835,0,0
"85",700000,1,1,33,1,15,31,17,4,155000,4000,13.4588356140255,11.9511803959014,8.29404964010203,4.51612903225806,2
"86",0,0,1,52,1,17,51,17,2,164000,331000,0,12.0076217068063,12.7098736543592,0,1
"87",0,0,0,46,0,12,0,0,2,7400,0,0,8.90923527919226,0,0,0
"89",360000,1,1,42,1,14,43,16,4,102000,8000,12.7938593104323,11.5327280922664,8.98719682066197,3.52941176470588,1
"90",0,0,0,53,1,12,52,0,1,530,0,0,6.27287700654617,0,0,1
"91",180000,1,1,59,1,17,53,17,2,30000,0,12.1007121298723,10.3089526606443,0,6,6
"92",200000,1,1,40,1,17,40,17,3,190000,2000,12.2060726455302,12.1547793511426,7.60090245954208,1.05263157894737,0
"93",0,0,1,52,1,17,52,17,5,1700000,332000,0,14.3461388090264,12.7128902478986,0,0
"94",0,0,1,68,0,15,0,0,2,110000,3500,0,11.6082356447746,8.1605182474775,0,0
"95",100000,1,1,38,1,16,35,16,4,63000,1400,11.5129254649702,11.0508900053737,7.24422751560335,1.58730158730159,3
"96",26000,1,1,58,1,13,58,12,2,58000,2000,10.1658518170036,10.9681982895286,7.60090245954208,0.448275862068966,0
"97",0,0,1,70,1,14,67,12,2,155000,1600,0,11.9511803959014,7.37775890822787,0,3
"98",0,0,1,50,1,17,52,14,4,167000,232000,0,12.0257490913989,12.3544926506484,0,2
"99",20000,1,1,62,1,12,52,12,2,41000,500,9.90348755253613,10.6213273456864,6.21460809842219,0.48780487804878,10
"100",2000000,1,1,45,1,16,42,17,7,500000,8500,14.5086577385242,13.1223633774043,9.04782144247841,4,3
"101",0,0,1,24,0,14,0,0,3,34000,1000,0,10.4341158035983,6.90775527898214,0,0
"102",0,0,1,31,0,11,0,0,1,5000,0,0,8.51719319141624,0,0,0
